Mission_ID,Grid_ID,Image,Row,Col,Pixel_X,Pixel_Y,Northing,Easting,Average_NDVI,Average_NDRE,Average_SAVI,Vegetation_Ratio,Canopy_Coverage,Crop_Stress_Indicator,Average_Red,Average_Green,Average_NIR,Temperature,Humidity,Rainfall,Wind_Speed,Soil_Moisture,Soil_pH,Crop_Type,Crop_Growth_Stage,Status
20260724_123113,G_1_28,odm_orthophoto,1,28,1311,76,4299968.756088099,618833.720046086,0.27669322,-0.03183424,1.5714957e-05,1.0,100.0,72.33068,6.8443824e-06,7.2111893e-06,1.2082901e-05,31.12,77.42,1.19,3.88,36.8,7.06,Wheat,Vegetative,MODERATE
20260724_123113,G_1_29,odm_orthophoto,1,29,1357,76,4299968.756088099,618836.019465747,0.28915495,-0.022705577,1.7056942e-05,0.8184143222506394,81.84143222506394,71.0845,6.978962e-06,7.155237e-06,1.2664835e-05,32.48,82.05,0.34,5.2,30.96,7.0,Wheat,Vegetative,MODERATE
20260724_123113,G_2_20,odm_orthophoto,2,20,943,127,4299966.206088138,618815.3246887975,0.31008798,0.020139119,1.4130395e-05,0.5421994884910486,54.21994884910486,68.9912,5.2420414e-06,5.336082e-06,9.952317e-06,33.26,83.03,0.93,3.92,25.05,6.64,Wheat,Vegetative,MODERATE
20260724_123113,G_2_21,odm_orthophoto,2,21,989,127,4299966.206088138,618817.6241084585,0.30465746,0.014954387,1.4026056e-05,0.9624893435635123,96.24893435635123,69.534256,5.3315957e-06,5.455324e-06,1.0007092e-05,32.11,65.49,10.36,0.6,33.02,7.17,Wheat,Vegetative,MODERATE
20260724_123113,G_2_22,odm_orthophoto,2,22,1035,127,4299966.206088138,618819.9235281196,0.36638546,0.0331873,1.924492e-05,0.947996589940324,94.84228473998296,63.361454,5.170248e-06,5.541956e-06,1.1585452e-05,32.12,69.52,0.48,5.68,40.98,6.45,Wheat,Vegetative,HEALTHY
20260724_123113,G_2_23,odm_orthophoto,2,23,1081,127,4299966.206088138,618822.2229477807,0.5721355,0.11141809,3.2063883e-05,0.8674339300937767,86.99914748508098,42.78645,3.856599e-06,4.392758e-06,1.4544969e-05,30.53,81.08,9.17,5.15,29.11,6.95,Wheat,Vegetative,HEALTHY
20260724_123113,G_2_24,odm_orthophoto,2,24,1127,127,4299966.206088138,618824.5223674418,0.4171999,0.058668304,2.1871072e-05,0.7698209718670077,78.51662404092072,58.28001,4.865237e-06,5.3025165e-06,1.2155852e-05,33.04,61.07,12.65,1.08,36.13,6.56,Wheat,Vegetative,HEALTHY
20260724_123113,G_2_25,odm_orthophoto,2,25,1173,127,4299966.206088138,618826.8217871028,0.31988963,0.016631793,1.662696e-05,1.0,100.0,68.01103,5.887358e-06,6.3136167e-06,1.142987e-05,29.87,71.22,3.68,2.91,44.1,6.69,Wheat,Vegetative,MODERATE
20260724_123113,G_2_26,odm_orthophoto,2,26,1219,127,4299966.206088138,618829.1212067639,0.31191,0.005818365,1.7539116e-05,0.9867860187553282,98.89173060528559,68.809,6.475325e-06,6.9018574e-06,1.232192e-05,31.39,79.07,6.59,4.38,42.3,6.44,Wheat,Vegetative,MODERATE
20260724_123113,G_2_27,odm_orthophoto,2,27,1265,127,4299966.206088138,618831.420626425,0.2994299,-0.0058453023,1.710868e-05,1.0,100.0,70.05701,6.6619846e-06,7.0391434e-06,1.2365096e-05,31.02,74.71,5.56,0.51,37.59,6.71,Wheat,Vegetative,MODERATE
20260724_123113,G_2_28,odm_orthophoto,2,28,1311,127,4299966.206088138,618833.720046086,0.2925633,-0.011869079,1.6565653e-05,1.0,100.0,70.74367,6.670078e-06,7.047553e-06,1.2192172e-05,30.27,68.81,11.3,1.78,28.34,6.98,Wheat,Vegetative,MODERATE
20260724_123113,G_2_29,odm_orthophoto,2,29,1357,127,4299966.206088138,618836.019465747,0.30131847,-0.0071961368,1.7303524e-05,1.0,100.0,69.86816,6.679494e-06,6.8990385e-06,1.2447556e-05,30.43,70.27,14.46,4.3,34.11,6.85,Wheat,Vegetative,MODERATE
20260724_123113,G_2_30,odm_orthophoto,2,30,1403,127,4299966.206088138,618838.3188854081,0.44598624,0.06279984,3.0472245e-05,1.0,100.0,55.401375,6.216706e-06,6.379516e-06,1.6374592e-05,32.27,71.71,6.56,4.4,44.58,6.55,Wheat,Vegetative,HEALTHY
20260724_123113,G_2_31,odm_orthophoto,2,31,1449,127,4299966.206088138,618840.6183050692,0.49501845,0.08990038,3.525105e-05,0.9633418584825234,96.33418584825235,50.498154,6.0165307e-06,5.7154252e-06,1.7767443e-05,26.84,72.18,2.74,4.5,40.9,6.67,Wheat,Vegetative,HEALTHY
20260724_123113,G_2_32,odm_orthophoto,2,32,1495,127,4299966.206088138,618842.9177247302,0.5101249,0.10233687,3.7394206e-05,0.6167945439045184,61.67945439045184,48.987507,6.104152e-06,6.0247485e-06,1.8569504e-05,32.56,77.91,13.35,3.28,34.16,6.62,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_19,odm_orthophoto,3,19,897,178,4299963.656088176,618813.0252691364,0.3239782,0.037166893,1.4599926e-05,0.6773231031543052,67.90281329923273,67.60218,5.080999e-06,5.179257e-06,9.9477875e-06,26.54,67.49,7.39,4.69,29.21,6.79,Wheat,Vegetative,MODERATE
20260724_123113,G_3_20,odm_orthophoto,3,20,943,178,4299963.656088176,618815.3246887975,0.37194598,0.04991327,1.8446606e-05,0.9948849104859335,99.48849104859335,62.8054,4.7692197e-06,5.0735716e-06,1.0918301e-05,29.29,80.16,12.08,3.9,37.91,6.4,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_21,odm_orthophoto,3,21,989,178,4299963.656088176,618817.6241084585,0.46498665,0.06813928,2.5044765e-05,0.9215686274509803,93.05200341005968,53.50133,4.291676e-06,4.734868e-06,1.2640239e-05,31.82,70.41,13.48,3.7,41.89,6.8,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_22,odm_orthophoto,3,22,1035,178,4299963.656088176,618819.9235281196,0.59252053,0.11545517,3.394004e-05,0.736999147485081,74.93606138107417,40.747948,3.6361207e-06,4.3157593e-06,1.494991e-05,33.08,72.96,12.89,4.82,39.58,6.02,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_23,odm_orthophoto,3,23,1081,178,4299963.656088176,618822.2229477807,0.6399898,0.13461745,3.352161e-05,0.7310315430520035,74.55242966751918,36.001022,3.0886367e-06,3.620154e-06,1.4262909e-05,28.63,64.81,14.09,5.83,33.1,7.07,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_24,odm_orthophoto,3,24,1127,178,4299963.656088176,618824.5223674418,0.60955435,0.12340261,3.117612e-05,0.773231031543052,78.51662404092072,39.044563,3.293042e-06,3.5973871e-06,1.3685443e-05,28.79,69.6,6.89,2.29,37.51,6.18,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_25,odm_orthophoto,3,25,1173,178,4299963.656088176,618826.8217871028,0.36929366,0.02532494,1.8817078e-05,0.6099744245524297,61.63682864450127,63.070633,5.4608126e-06,5.8224714e-06,1.1733387e-05,26.1,72.89,1.73,5.72,30.57,6.61,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_26,odm_orthophoto,3,26,1219,178,4299963.656088176,618829.1212067639,0.3200119,0.009443221,1.6972836e-05,1.0,100.0,67.99881,6.0078937e-06,6.4115447e-06,1.1665706e-05,35.06,77.08,5.9,3.43,34.06,6.6,Wheat,Vegetative,MODERATE
20260724_123113,G_3_27,odm_orthophoto,3,27,1265,178,4299963.656088176,618831.420626425,0.29893923,-0.00062678754,1.6831105e-05,1.0,100.0,70.10608,6.576555e-06,7.059852e-06,1.2187134e-05,32.21,64.98,14.88,2.93,29.82,6.54,Wheat,Vegetative,MODERATE
20260724_123113,G_3_28,odm_orthophoto,3,28,1311,178,4299963.656088176,618833.720046086,0.3004809,0.0007867671,1.668858e-05,1.0,100.0,69.95191,6.4658907e-06,6.8858403e-06,1.2028958e-05,28.42,69.92,0.5,1.98,38.59,7.18,Wheat,Vegetative,MODERATE
20260724_123113,G_3_29,odm_orthophoto,3,29,1357,178,4299963.656088176,618836.019465747,0.30327487,0.0009021493,1.6762244e-05,1.0,100.0,69.672516,6.417614e-06,6.77326e-06,1.2005234e-05,28.6,66.26,14.64,4.33,33.04,6.73,Wheat,Vegetative,MODERATE
20260724_123113,G_3_30,odm_orthophoto,3,30,1403,178,4299963.656088176,618838.3188854081,0.3337807,0.012176514,2.2169022e-05,1.0,100.0,66.62193,7.3427186e-06,7.4548093e-06,1.4732727e-05,31.91,70.38,7.46,5.06,43.04,6.91,Wheat,Vegetative,MODERATE
20260724_123113,G_3_31,odm_orthophoto,3,31,1449,178,4299963.656088176,618840.6183050692,0.38272008,0.03239348,2.9177665e-05,1.0,100.0,61.72799,7.892913e-06,7.139276e-06,1.7619299e-05,32.37,74.66,7.09,3.97,43.3,6.43,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_32,odm_orthophoto,3,32,1495,178,4299963.656088176,618842.9177247302,0.4457133,0.06660203,3.1903022e-05,1.0,100.0,55.428673,6.696636e-06,6.4767087e-06,1.7331493e-05,29.59,79.83,0.98,0.59,29.18,6.93,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_33,odm_orthophoto,3,33,1541,178,4299963.656088176,618845.2171443913,0.52484107,0.1254134,3.6855112e-05,1.0,100.0,47.515892,5.648115e-06,5.648429e-06,1.7933738e-05,31.09,79.43,7.93,0.55,40.08,6.28,Wheat,Vegetative,HEALTHY
20260724_123113,G_3_34,odm_orthophoto,3,34,1587,178,4299963.656088176,618847.5165640523,0.5349969,0.14259666,3.564909e-05,0.7621483375959079,76.76896845694799,46.50031,5.186116e-06,5.131477e-06,1.7069679e-05,34.19,67.57,6.61,0.73,35.12,6.7,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_18,odm_orthophoto,4,18,851,229,4299961.106088214,618810.7258494754,0.37586132,0.06299862,2.2735778e-05,0.6325660699062233,63.725490196078425,62.41387,6.900807e-06,5.532336e-06,1.4479748e-05,34.04,86.48,12.06,3.78,29.81,6.79,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_19,odm_orthophoto,4,19,897,229,4299961.106088214,618813.0252691364,0.30367175,0.007321155,2.7114822e-05,0.5571184995737425,56.39386189258312,69.63283,1.1565497e-05,1.10801e-05,2.0604411e-05,33.27,63.76,9.49,2.57,38.99,6.27,Wheat,Vegetative,MODERATE
20260724_123113,G_4_20,odm_orthophoto,4,20,943,229,4299961.106088214,618815.3246887975,0.6667279,0.1394105,3.9714778e-05,0.6295822676896846,63.853367433930096,33.32721,3.0677224e-06,3.887796e-06,1.6306523e-05,30.79,79.3,10.29,4.96,34.34,7.06,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_21,odm_orthophoto,4,21,989,229,4299961.106088214,618817.6241084585,0.7198337,0.14963964,4.1511186e-05,0.6500426257459505,66.96504688832054,28.016632,2.6441319e-06,3.543827e-06,1.6481741e-05,32.12,68.02,5.62,3.99,37.18,6.38,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_22,odm_orthophoto,4,22,1035,229,4299961.106088214,618819.9235281196,0.7239206,0.1539991,4.2451433e-05,0.53154305200341,55.15771526001705,27.60794,2.6521138e-06,3.628134e-06,1.6803158e-05,30.96,73.84,2.8,5.58,33.73,6.78,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_24,odm_orthophoto,4,24,1127,229,4299961.106088214,618824.5223674418,0.6388058,0.13313426,3.2623324e-05,0.6462063086104007,66.53878942881501,36.11942,3.0405695e-06,3.4991615e-06,1.3915386e-05,26.31,74.98,8.08,3.87,33.13,6.89,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_25,odm_orthophoto,4,25,1173,229,4299961.106088214,618826.8217871028,0.36502942,0.029531268,1.847854e-05,0.6641091219096334,67.0929241261722,63.497055,5.452583e-06,5.8715973e-06,1.1612307e-05,31.26,80.13,11.84,4.55,21.45,6.52,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_26,odm_orthophoto,4,26,1219,229,4299961.106088214,618829.1212067639,0.32238898,0.013291932,1.6948105e-05,1.0,100.0,67.7611,5.937704e-06,6.3798598e-06,1.1587271e-05,29.17,77.09,6.75,1.96,22.34,6.77,Wheat,Vegetative,MODERATE
20260724_123113,G_4_27,odm_orthophoto,4,27,1265,229,4299961.106088214,618831.420626425,0.3074309,0.007876124,1.6043332e-05,1.0,100.0,69.25691,6.0162615e-06,6.4023734e-06,1.1364225e-05,31.63,67.85,2.38,0.55,36.16,6.62,Wheat,Vegetative,MODERATE
20260724_123113,G_4_28,odm_orthophoto,4,28,1311,229,4299961.106088214,618833.720046086,0.30172545,0.0074955453,1.531738e-05,1.0,100.0,69.82745,5.9047948e-06,6.2944505e-06,1.1010761e-05,33.02,70.86,9.25,1.49,29.67,7.01,Wheat,Vegetative,MODERATE
20260724_123113,G_4_29,odm_orthophoto,4,29,1357,229,4299961.106088214,618836.019465747,0.30178705,0.0073550274,1.5340629e-05,1.0,100.0,69.8213,5.9225767e-06,6.3555626e-06,1.1036294e-05,30.79,73.35,12.45,2.22,29.85,7.05,Wheat,Vegetative,MODERATE
20260724_123113,G_4_30,odm_orthophoto,4,30,1403,229,4299961.106088214,618838.3188854081,0.31381842,0.006827455,2.100173e-05,1.0,100.0,68.61816,7.6564875e-06,7.989781e-06,1.465738e-05,27.93,71.73,2.41,1.9,43.13,7.03,Wheat,Vegetative,MODERATE
20260724_123113,G_4_31,odm_orthophoto,4,31,1449,229,4299961.106088214,618840.6183050692,0.3327953,0.01627533,2.3271097e-05,1.0,100.0,66.720474,7.790047e-06,7.941792e-06,1.554744e-05,30.72,61.81,3.57,2.04,30.69,6.91,Wheat,Vegetative,MODERATE
20260724_123113,G_4_32,odm_orthophoto,4,32,1495,229,4299961.106088214,618842.9177247302,0.3517535,0.025376482,2.471976e-05,1.0,100.0,64.82465,7.5968896e-06,7.511241e-06,1.5837199e-05,28.51,66.98,11.54,5.69,34.5,6.67,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_33,odm_orthophoto,4,33,1541,229,4299961.106088214,618845.2171443913,0.40672207,0.06072288,2.855296e-05,0.9957374254049446,99.82949701619779,59.327793,6.9563284e-06,6.662845e-06,1.647443e-05,29.17,71.68,12.35,4.19,38.26,7.04,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_34,odm_orthophoto,4,34,1587,229,4299961.106088214,618847.5165640523,0.52439004,0.1273098,3.3297503e-05,0.9791133844842285,98.59335038363172,47.560997,5.0887515e-06,5.2524006e-06,1.6188395e-05,28.72,65.5,5.36,1.85,46.75,6.56,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_35,odm_orthophoto,4,35,1633,229,4299961.106088214,618849.8159837134,0.57951576,0.16146812,3.994045e-05,1.0,100.0,42.048424,4.7905487e-06,5.134428e-06,1.810465e-05,32.04,71.89,13.19,0.55,30.43,7.3,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_36,odm_orthophoto,4,36,1679,229,4299961.106088214,618852.1154033744,0.5622536,0.14860427,3.965652e-05,0.9202898550724637,92.02898550724638,43.77464,5.1520383e-06,5.3813087e-06,1.8371504e-05,31.93,77.79,4.21,3.82,24.24,6.88,Wheat,Vegetative,HEALTHY
20260724_123113,G_4_37,odm_orthophoto,4,37,1725,229,4299961.106088214,618854.4148230355,0.5973128,0.16380127,3.990523e-05,0.5272804774083546,52.89855072463768,40.26872,4.479684e-06,5.0606773e-06,1.7782024e-05,30.13,65.76,1.17,2.11,25.89,6.8,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_17,odm_orthophoto,5,17,805,280,4299958.556088252,618808.4264298143,0.398665,0.08853523,2.07294e-05,0.8716965046888321,87.1696504688832,60.1335,5.234183e-06,3.8241014e-06,1.2144226e-05,28.68,60.53,7.63,3.71,26.86,6.71,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_18,odm_orthophoto,5,18,851,280,4299958.556088252,618810.7258494754,0.39499852,0.07648709,2.0853387e-05,1.0,100.0,60.500145,5.372816e-06,4.260018e-06,1.23241925e-05,29.49,76.31,2.92,4.38,38.33,6.4,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_19,odm_orthophoto,5,19,897,280,4299958.556088252,618813.0252691364,0.40765736,0.06698632,2.1842607e-05,0.9991474850809889,99.9147485080989,59.23426,5.3671974e-06,4.2650386e-06,1.2648333e-05,28.92,80.7,12.17,1.93,45.19,6.93,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_20,odm_orthophoto,5,20,943,280,4299958.556088252,618815.3246887975,0.5846462,0.11009377,3.2999196e-05,0.9249786871270247,92.924126172208,41.535378,3.8902217e-06,3.7530715e-06,1.4890378e-05,33.2,75.84,14.83,3.55,29.6,6.91,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_21,odm_orthophoto,5,21,989,280,4299958.556088252,618817.6241084585,0.7050246,0.14409046,3.9518596e-05,0.6747655583972719,68.79795396419436,29.49754,2.7063732e-06,3.3826086e-06,1.5879743e-05,34.28,70.16,12.55,2.16,28.31,6.69,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_22,odm_orthophoto,5,22,1035,280,4299958.556088252,618819.9235281196,0.7393697,0.15985636,4.284609e-05,0.6219096334185849,64.74850809889173,26.06303,2.4890794e-06,3.4271623e-06,1.6771673e-05,28.67,72.89,13.74,5.21,27.74,7.22,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_23,odm_orthophoto,5,23,1081,280,4299958.556088252,618822.2229477807,0.7080171,0.14852874,3.90764e-05,0.5106564364876386,53.32480818414322,29.198288,2.6498756e-06,3.4578582e-06,1.5675836e-05,29.74,64.53,2.41,0.75,35.6,6.12,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_25,odm_orthophoto,5,25,1173,280,4299958.556088252,618826.8217871028,0.40435806,0.047538873,2.3078634e-05,0.896845694799659,89.94032395566921,59.564198,5.2131777e-06,5.7136385e-06,1.29063565e-05,28.35,69.51,8.36,1.5,35.53,6.65,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_26,odm_orthophoto,5,26,1219,280,4299958.556088252,618829.1212067639,0.3916745,0.046107404,2.2928733e-05,1.0,100.0,60.83255,5.6457466e-06,5.903692e-06,1.328896e-05,31.12,68.39,5.91,0.51,37.35,6.88,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_27,odm_orthophoto,5,27,1265,280,4299958.556088252,618831.420626425,0.5196035,0.088319615,3.4152377e-05,1.0,100.0,48.03965,5.100316e-06,5.483078e-06,1.6484946e-05,29.01,71.17,10.35,0.77,33.11,6.65,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_28,odm_orthophoto,5,28,1311,280,4299958.556088252,618833.720046086,0.3894632,0.040126037,2.4065675e-05,1.0,100.0,61.05368,5.960226e-06,6.223327e-06,1.3982456e-05,32.17,66.83,2.6,5.42,31.04,7.0,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_29,odm_orthophoto,5,29,1357,280,4299958.556088252,618836.019465747,0.31223142,0.012083395,1.7214847e-05,1.0,100.0,68.776855,6.330406e-06,6.677278e-06,1.2068903e-05,33.68,68.49,1.77,2.76,38.23,6.72,Wheat,Vegetative,MODERATE
20260724_123113,G_5_30,odm_orthophoto,5,30,1403,280,4299958.556088252,618838.3188854081,0.305077,0.0028652323,1.9508825e-05,1.0,100.0,69.4923,7.41712e-06,7.846818e-06,1.3920339e-05,28.63,74.48,1.63,5.22,40.38,7.37,Wheat,Vegetative,MODERATE
20260724_123113,G_5_31,odm_orthophoto,5,31,1449,280,4299958.556088252,618840.6183050692,0.3177415,0.012271667,2.0681939e-05,1.0,100.0,68.225845,7.4049085e-06,7.8840185e-06,1.4299187e-05,29.68,77.5,7.87,1.5,34.46,6.71,Wheat,Vegetative,MODERATE
20260724_123113,G_5_32,odm_orthophoto,5,32,1495,280,4299958.556088252,618842.9177247302,0.33053535,0.02236911,2.3086308e-05,1.0,100.0,66.946465,7.7894565e-06,8.350702e-06,1.548525e-05,28.1,80.05,9.7,2.02,34.71,6.96,Wheat,Vegetative,MODERATE
20260724_123113,G_5_33,odm_orthophoto,5,33,1541,280,4299958.556088252,618845.2171443913,0.34772006,0.031378593,2.412555e-05,1.0,100.0,65.228,7.55516e-06,8.119219e-06,1.5597383e-05,32.05,64.04,6.84,2.87,27.39,7.16,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_34,odm_orthophoto,5,34,1587,280,4299958.556088252,618847.5165640523,0.38758126,0.047093224,2.6474585e-05,1.0,100.0,61.24188,6.9703556e-06,7.3696438e-06,1.5795622e-05,28.22,72.59,11.74,0.81,28.91,7.04,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_35,odm_orthophoto,5,35,1633,280,4299958.556088252,618849.8159837134,0.44276857,0.0774654,3.1435346e-05,1.0,100.0,55.723145,6.563272e-06,6.6909715e-06,1.7042223e-05,28.05,67.53,9.33,4.79,24.62,6.86,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_36,odm_orthophoto,5,36,1679,280,4299958.556088252,618852.1154033744,0.48966712,0.09802966,3.3899403e-05,1.0,100.0,51.033287,5.933483e-06,6.1979185e-06,1.7233811e-05,31.4,60.06,11.65,4.35,36.11,7.09,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_37,odm_orthophoto,5,37,1725,280,4299958.556088252,618854.4148230355,0.546156,0.12950402,3.841953e-05,0.9467178175618073,95.78005115089513,45.3844,5.3381477e-06,5.7294847e-06,1.8145263e-05,26.68,69.69,9.36,2.65,30.08,7.16,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_38,odm_orthophoto,5,38,1771,280,4299958.556088252,618856.7142426965,0.51813394,0.117800586,3.6206584e-05,0.9901960784313726,99.01960784313727,48.186607,5.699476e-06,5.824367e-06,1.7768903e-05,30.93,78.51,14.36,3.44,34.27,6.88,Wheat,Vegetative,HEALTHY
20260724_123113,G_5_39,odm_orthophoto,5,39,1817,280,4299958.556088252,618859.0136623576,0.56671494,0.14532347,3.6110046e-05,0.7011935208866155,70.11935208866154,43.328506,4.5947536e-06,4.97559e-06,1.6631953e-05,28.0,65.9,2.41,2.87,27.8,6.53,Wheat,Vegetative,HEALTHY
20260724_123113,G_6_16,odm_orthophoto,6,16,759,331,4299956.00608829,618806.1270101533,0.39444622,0.08076154,2.0555904e-05,0.7429667519181585,74.29667519181585,60.555374,5.296635e-06,4.177174e-06,1.2148844e-05,32.07,67.2,9.18,2.95,40.04,6.74,Wheat,Vegetative,HEALTHY
20260724_123113,G_6_17,odm_orthophoto,6,17,805,331,4299956.00608829,618808.4264298143,0.3979367,0.088068485,2.0376143e-05,1.0,100.0,60.20633,5.1587576e-06,4.1113867e-06,1.19510405e-05,30.26,70.45,0.01,3.29,37.01,6.32,Wheat,Vegetative,HEALTHY
20260724_123113,G_6_18,odm_orthophoto,6,18,851,331,4299956.00608829,618810.7258494754,0.39953795,0.07934417,2.0762875e-05,1.0,100.0,60.046207,5.2427154e-06,4.3499276e-06,1.2163918e-05,31.88,77.46,9.04,3.35,35.54,6.86,Wheat,Vegetative,HEALTHY
20260724_123113,G_6_19,odm_orthophoto,6,19,897,331,4299956.00608829,618813.0252691364,0.4047526,0.0626885,2.0703603e-05,1.0,100.0,59.52474,5.161408e-06,3.9513784e-06,1.206285e-05,29.18,69.69,12.44,5.76,32.97,6.74,Wheat,Vegetative,HEALTHY
20260724_123113,G_6_20,odm_orthophoto,6,20,943,331,4299956.00608829,618815.3246887975,0.43665925,0.06403971,2.2529786e-05,0.9578005115089514,95.86530264279625,56.33408,4.9380833e-06,3.8673197e-06,1.2448279e-05,32.18,72.62,8.62,3.4,34.88,6.48,Wheat,Vegetative,HEALTHY
20260724_123113,G_6_21,odm_orthophoto,6,21,989,331,4299956.00608829,618817.6241084585,0.691886,0.15096672,4.0616724e-05,0.875532821824382,88.44842284739983,30.8114,2.936047e-06,3.5265878e-06,1.6475497e-05,30.16,62.5,2.19,2.58,44.97,6.7,Wheat,Vegetative,HEALTHY
20260724_123113,G_6_22,odm_orthophoto,6,22,1035,331,4299956.00608829,618819.9235281196,0.7583416,0.17016952,4.4336473e-05,0.9096334185848253,92.96675191815856,24.165838,2.337286e-06,3.2873218e-06,1.7116703e-05,33.18,72.53,1.03,2.23,38.81,6.37,Wheat,Vegetative,HEALTHY
